Name,H,A
"  3641 Williams Bay (A922 WC)",11.40,0.0489
"  3642 Frieden (1953 XL1)",11.1,0.0475
"  3647 Dermott (1986 AD1)",11.5,0.0517
"  3650 Kunming (1978 UO2)",11.6,0.0386
"  3666 Holman (1979 HP)",12.2,0.0592
"  3682 Welther (A923 NB)",11.7,0.1189
"  3684 Berry (1983 AK)",13.8,0.0504
"  3685 Derdenye (1981 EH14)",13.30,0.0817
"  3686 Antoku (1987 EB)",12.3,0.0680
"  3687 Dzus (A908 TC)",11.4,0.0542
"  3693 Barringer (1982 RU)",11.6,0.0603
"  3702 Trubetskaya (1970 NB)",11.5,0.1369
"  3714 Kenrussell (1983 TT1)",12.6,0.1078
"  3724 Annenskij (1979 YN8)",11.6,0.2022
"  3728 IRAS (1983 QF)",11.9,0.1161
"  3730 Hurban (1983 XM1)",11.7,0.0484
"  3744 Horn-d''Arturo (1983 VE)",12.9,0.0540
"  3747 Belinskij (1975 VY5)",10.8,0.0898
"  3751 Kiang (1983 NK)",11.6,0.0794
"  3754 Kathleen (1931 FM)",10.3,0.0624
"  3759 Piironen (1984 AP)",11.8,0.0297
"  3772 Piaf (1982 UR7)",11.2,0.0870
"  3776 Vartiovuori (1938 GG)",10.8,0.2229
"  3781 Dufek (1986 RG1)",12.3,0.0578
"  3784 Chopin (1986 UL1)",11.3,0.0864
"  3799 Novgorod (1979 SL9)",12.1,0.1003
"  3803 Tuchkova (1981 TP1)",11.1,0.0425
"  3805 Goldreich (1981 DK3)",12.6,0.1165
"  3812 Lidaksum (1965 AK1)",11.3,0.0318
"  3815 Konig (1959 GG)",12.2,0.0360
"  3818 Gorlitsa (1979 QL8)",14.0,0.0356
"  3829 Gunma (1988 EM)",12.0,0.0393
"  3839 Bogaevskij (1971 OU)",13.0,0.1378
"  3846 Hazel (1980 TK5)",12.0,0.0753
"  3855 Pasasymphonia (1986 NF1)",13.0,0.2569
"  3872 Akirafujii (1983 AV)",12.5,0.0583
"  3876 Quaide (1988 KJ)",11.4,0.1111
"  3895 Earhart (1987 DE)",11.8,0.1228
"  3899 Wichterle (1982 SN1)",11.4,0.1037
"  3901 Nanjingdaxue (1958 GQ)",12.4,0.0419
"  3906 Chao (1987 KE1)",10.4,0.0381
"  3911 Otomo (1940 QB)",11.4,0.1937
"  3915 Fukushima (1988 PA1)",12.2,0.0561
"  3922 Heather (1971 SP3)",12.7,0.0438
"  3925 Tret''yakov (1977 SS2)",11.0,0.0440
"  3932 Edshay (1984 SC5)",11.7,0.1859
"  3935 Toatenmongakkai (1987 PB)",11.9,0.1962
"  3939 Huruhata (1953 GO)",11.3,0.0524
"  3945 Gerasimenko (1982 PL)",12.4,0.0395
"  3957 Sugie (1933 OD)",12.50,0.0321
"  3961 Arthurcox (1962 OB)",12.0,0.2012
"  3970 Herran (1979 ME9)",12.2,0.1117
"  3971 Voronikhin (1979 YM8)",11.3,0.0392
"  3976 Lise (1983 JM)",11.60,0.0585
"  3978 Klepesta (1983 VP1)",11.7,0.0518
"  3979 Brorsen (1983 VV1)",11.9,0.1003
"  3981 Stodola (1984 BL)",11.90,0.0603
"  3983 Sakiko (1984 SX)",12.8,0.0721
"  3987 Wujek (1986 EL1)",12.0,0.0539
"  3994 Ayashi (1988 XF)",12.70,0.0782
"  3999 Aristarchus (1989 AL)",12.6,0.0589
"  4002 Shinagawa (1950 JB)",11.6,0.2021
"  4006 Sandler (1972 YR)",12.6,0.0669
"  4009 Drobyshevskij (1977 EN1)",12.50,0.0542
"  4049 Noragal'' (1973 QD2)",12.3,0.0859
"  4061 Martelli (1988 FF3)",12.1,0.0930
"  4093 Bennett (1986 VD)",12.2,0.0601
"  4103 Chahine (1989 EB)",11.3,0.3477
"  4107 Rufino (1989 GT)",12.1,0.3179
"  4110 Keats (1977 CZ)",11.8,0.0633
"  4112 Hrabal (1981 ST)",11.0,0.0226
"  4121 Carlin (1986 JH)",12.6,0.4164
"  4124 Herriot (1986 SE)",12.4,0.0452
"  4131 Stasik (1988 DR4)",11.6,0.0501
"  4132 Bartok (1988 EH)",12.0,0.3308
"  4140 Branham (1976 VA)",11.2,0.0637
"  4141 Nintanlena (1978 PG3)",12.9,0.0723
"  4144 Vladvasil''ev (1981 SW6)",11.8,0.0666
"  4146 Rudolfinum (1982 DD2)",13.5,0.0469
"  4152 Weber (1985 JF)",11.9,0.0585
"  4157 Izu (1988 XD2)",12.3,0.0695
"  4159 Freeman (1989 GK)",11.1,0.2822
"  4162 SAF (1940 WA)",11.6,0.0620
"  4176 Sudek (1987 DS)",11.90,0.0341
"  4186 Tamashima (1977 DT1)",11.3,0.0600
"  4194 Sweitzer (1982 RE)",12.1,0.0823
"  4201 Orosz (1984 JA1)",11.5,0.0726
"  4209 Briggs (1986 TG4)",11.3,0.1288
"  4211 Rosniblett (1987 RT)",11.7,0.0259
"  4217 Engelhardt (1988 BO2)",12.2,0.2108
"  4222 Nancita (1988 EK1)",12.2,0.2703
"  4224 Susa (1988 KG)",11.3,0.0648
"  4226 Damiaan (1989 RE)",11.5,0.0555
"  4231 Fireman (1976 WD)",13.3,0.0437
"  4243 Nankivell (1981 GF1)",12.5,0.0493
"  4250 Perun (1984 UG)",11.9,0.0664
"  4266 Waltari (1940 YE)",11.9,0.0528
"  4281 Pounds (1985 TE1)",13.8,0.0361
"  4292 Aoba (1989 VO)",12.1,0.0385
"  4298 Jorgenunez (1941 WA)",12.20,0.0651
"  4313 Bouchet (1979 HK1)",12.6,0.0758
"  4315 Pronik (1979 SL11)",12.3,0.0513
"  4327 Ries (1982 KB1)",11.7,0.0970
"  4332 Milton (1983 RC)",12.7,0.2306
"  4335 Verona (1983 VC7)",13.3,0.2418
"  4342 Freud (1987 QO9)",12.3,0.0920
"  4343 Tetsuya (1988 AC)",12.4,0.0856
"  4349 Tiburcio (1989 LX)",11.70,0.0540
"  4350 Shibecha (1989 UG1)",12.1,0.0487
"  4356 Marathon (9522 P-L)",12.9,0.0665
"  4366 Venikagan (1979 YV8)",12.3,0.0273
"  4368 Pillmore (1981 JC2)",11.4,0.1219
"  4378 Voigt (1988 JF)",11.70,0.2734
"  4379 Snelling (1988 PT1)",11.7,0.0430
"  4381 Uenohara (1989 WD1)",11.2,0.1394
"  4414 Sesostris (4153 P-L)",14.2,0.0304
"  4424 Arkhipova (1967 DB)",11.6,0.0709
"  4431 Holeungholee (1978 WU14)",11.6,0.0925
"  4438 Sykes (1983 WR)",11.50,0.0718
"  4442 Garcia (1985 RB1)",12.8,0.0683
"  4449 Sobinov (1987 RX3)",11.6,0.0649
"  4460 Bihoro (1990 DS)",10.8,0.0444
"  4470 Sergeev-Censkij (1978 QP1)",12.5,0.0912
"  4484 Sif (1987 DD)",12.3,0.0562
"  4493 Naitomitsu (1988 TG1)",11.2,0.1636
"  4500 Pascal (1989 CL)",12.5,0.0813
"  4505 Okamura (1990 DV1)",11.2,0.1714
"  4511 Rembrandt (1935 SP1)",12.0,0.2861
"  4522 Britastra (1980 BM)",12.2,0.0527
"  4540 Oriani (1988 VY1)",12.4,0.1129
"  4547 Massachusetts (1990 KP)",11.5,0.1184
"  4554 Fanynka (1986 UT)",11.6,0.0812
"  4562 Poleungkuk (1979 UD2)",12.8,0.0473
"  4573 Piestany (1986 TP6)",11.6,0.0616
"  4597 Consolmagno (1983 UA1)",12.6,0.0824
"  4609 Pizarro (1988 CT3)",11.7,0.0582
"  4642 Murchie (1990 QG4)",12.3,0.0628
"  4645 Tentaikojo (1990 SP4)",12.6,0.1622
"  4648 Tirion (1931 UE)",13.2,0.0614
"  4672 Takuboku (1988 HB)",11.3,0.0609
"  4695 Mediolanum (1985 RU3)",11.9,0.0560
"  4712 Iwaizumi (1989 QE)",11.3,0.0933
"  4717 Kaneko (1989 WX)",11.20,0.1808
"  4730 Xingmingzhou (1980 XZ)",11.3,0.1022
"  4732 Froeschle (1981 JG)",11.30,0.0599
"  4759 Aretta (1978 VG10)",12.4,0.1255
"  4768 Hartley (1988 PH1)",11.3,0.0398
"  4772 (1989 VM)",11.80,0.0409
"  4783 Wasson (1983 AH1)",13.5,0.0455
"  4790 Petrpravec (1988 PP)",12.9,0.1084
"  4812 Hakuhou (1977 DL3)",14.40,0.0580
"  4813 Terebizh (1977 RR7)",12.1,0.0226
"  4831 Baldwin (1988 RX11)",12.40,0.0157
"  4840 Otaynang (1989 UY)",11.7,0.0398
"  4843 Megantic (1990 DR4)",11.8,0.1039
"  4874 Burke (1991 AW)",12.2,0.0818
"  4889 Praetorius (1982 UW3)",12.2,0.0908
"  4896 Tomoegozen (1986 YA)",11.4,0.1345
"  4903 Ichikawa (1989 UD)",12.6,0.1039
"  4907 Zoser (7618 P-L)",12.2,0.0529
"  4911 Rosenzweig (1953 UD)",12.0,0.0908
"  4918 Rostropovich (1974 QU1)",13.4,0.0651
"  4930 Rephiltim (1983 AO2)",11.1,0.0720
"  4955 Gold (1990 SF2)",11.7,0.0599
"  4958 Wellnitz (1991 NT1)",11.4,0.0582
"  4959 Niinoama (1991 PA1)",10.80,0.1082
"  4966 Edolsen (1981 EO34)",13.6,0.0687
"  4967 Glia (1983 CF1)",11.2,0.1054
"  5022 Roccapalumba (1984 HE1)",11.6,0.0324
"  5070 Arai (1991 XT)",11.6,0.0792
"  5079 Brubeck (1975 DB)",12.60,0.0592
"  5081 Sanguin (1976 WC1)",12.5,0.1072
"  5084 Gnedin (1977 FN1)",12.2,0.0656
"  5092 Manara (1982 FJ)",11.6,0.1014
"  5095 Escalante (1983 NL)",13.1,0.1203
"  5097 Axford (1983 TW1)",13.20,0.0547
"  5102 Benfranklin (1986 RD1)",12.6,0.0443
"  5105 Westerhout (1986 TM1)",12.1,0.0874
"  5133 Phillipadams (1990 PA)",12.0,0.0697
"  5140 Kida (1990 XH)",11.5,0.0683
"  5153 (1940 GO)",11.9,0.0735
"  5176 Yoichi (1989 AU)",12.20,0.0849
"  5185 Alerossi (1990 RV2)",12.5,0.1408
"  5192 Yabuki (1991 CC)",10.7,0.0966
"  5202 (1983 XX)",13.1,0.0893
"  5222 Ioffe (1980 TL13)",11.3,0.1463
"  5225 Loral (1983 TS1)",12.4,0.0459
"  5228 Maca (1986 VT)",12.6,0.0413
"  5229 (1987 DE6)",12.4,0.0503
"  5236 Yoko (1990 TG3)",13.1,0.1383
"  5237 Yoshikawa (1990 UF3)",13.2,0.0587
"  5249 Giza (1983 HJ)",12.2,0.0517
"  5255 Johnsophie (1988 KF)",13.2,0.0723
"  5262 Brucegoldberg (1990 XB1)",11.1,0.0698
"  5304 Bazhenov (1978 TA7)",12.5,0.0925
"  5316 Filatov (1982 UB7)",11.6,0.0417
"  5330 Senrikyu (1990 BQ1)",12.2,0.2227
"  5358 (1992 QH)",11.5,0.2141
"  5374 Hokutosei (1989 AM1)",11.4,0.0606
"  5399 Awa (1989 BT)",12.4,0.0754
"  5416 Estremadoyro (1978 VE5)",12.8,0.0697
"  5420 Jancis (1982 JR1)",13.5,0.0731
"  5435 Kameoka (1990 BS1)",11.7,0.0737
"  5443 Encrenaz (1991 NX1)",13.2,0.0801
"  5458 Aizman (1980 TB12)",12.1,0.0526
"  5461 Autumn (1983 HB1)",11.7,0.0986
"  5468 Hamatonbetsu (1988 BK)",12.2,0.0748
"  5469 (1988 BK4)",13.1,0.0268
"  5484 Inoda (1990 VH1)",12.8,0.1062
"  5489 Oberkochen (1993 BF2)",11.50,0.3398
"  5521 Morpurgo (1991 PM1)",12.4,0.2393
"  5567 Durisen (1953 FK1)",11.2,0.0845
"  5572 Bliskunov (1978 SS2)",12.5,0.0686
"  5576 Albanese (1986 UM1)",12.3,0.0681
"  5592 Oshima (1990 VB4)",11.7,0.0686
"  5616 Vogtland (1987 ST10)",13.8,0.0261
"  5647 (1990 TZ)",12.1,0.4729
"  5651 Traversa (1991 CA2)",11.5,0.0511
"  5654 Terni (1993 KG)",12.4,0.0684
"  5678 DuBridge (1989 TS)",13.8,0.0130
"  5697 Arrhenius (6766 P-L)",12.5,0.0774
"  5709 Tamyeunleung (1977 TS3)",12.2,0.0831
"  5747 (1991 CO3)",12.4,0.2670
"  5757 Ticha (1967 JN)",12.00,0.0632
"  5771 Somerville (1987 ST1)",12.2,0.0372
"  5832 Martaprincipe (1991 LE1)",12.2,0.1146
"  5849 (1990 HF1)",10.9,0.1823
"  5852 Nanette (1991 HO)",12.0,0.0353
"  5889 Mickiewicz (1979 FA3)",12.1,0.0726
"  5900 Jensen (1986 TL)",12.0,0.0287
"  5919 Patrickmartin (1991 PW12)",12.2,0.0968
"  5922 Shouichi (1992 UV)",11.8,0.0542
"  5924 Teruo (1994 CH1)",13.1,0.0693
"  5959 Shaklan (1989 NB1)",12.1,0.1770
"  6038 (1989 EQ)",12.5,0.0443
"  6059 (1979 TA)",14.3,0.0413
"  6106 Stoss (6564 P-L)",12.6,0.0649
"  6111 Davemckay (1979 SP13)",13.1,0.0817
"  6129 Demokritos (1989 RB2)",12.8,0.0863
"  6150 Neukum (1980 FR1)",12.8,0.0987
"  6157 Prey (1991 RX2)",13.7,0.0171
"  6174 Polybius (1983 TR2)",11.8,0.0723
"  6175 Cori (1983 XW)",12.7,0.1573
"  6187 (1988 RD5)",12.7,0.0616
"  6192 (1990 KB1)",12.8,0.2669
"  6205 Menottigalli (1983 OD)",13.5,0.0847
"  6255 Kuma (1994 XT)",12.8,0.0342
"  6279 (1977 UO5)",12.5,0.0684
"  6295 Schmoll (1988 CF3)",14.0,0.1114
"  6336 Dodo (1992 UU)",13.0,0.0195
"  6348 (1995 CH1)",13.2,0.0726
"  6349 Acapulco (1995 CN1)",12.3,0.0757
"  6350 Schluter (3526 P-L)",12.1,0.0671
"  6353 Semper (3107 T-3)",12.6,0.0962
"  6362 Tunis (1979 KO)",11.7,0.0373
"  6372 Walker (1985 JW1)",11.2,0.0443
"  6404 Vanavara (1991 PS6)",12.90,0.0279
"  6453 (1991 NY)",13.60,0.1032
"  6475 Refugium (1987 SZ6)",11.1,0.1136
"  6479 Leoconnolly (1988 LC)",12.6,0.0507
"  6570 Tomohiro (1994 JO)",11.9,0.0546
"  6606 Makino (1990 UF)",12.7,0.0287
"  6613 Williamcarl (1994 LK)",12.0,0.0430
"  6619 Kolya (1973 SS4)",11.4,0.1266
"  6621 Timchuk (1975 VN5)",13.7,0.0512
"  6631 Pyatnitskij (1983 RQ4)",13.1,0.0494
"  6648 (1991 PM11)",12.9,0.1937
"  6687 Lahulla (1980 FN1)",14.6,0.0192
"  6779 Perrine (1990 DM1)",13.9,0.0330
"  6785 (1990 VA7)",11.10,0.0849
"  6794 Masuisakura (1992 DK)",11.2,0.0978
"  6862 Virgiliomarcon (1991 GL)",11.3,0.0624
"  6868 Seiyauyeda (1992 HD)",12.7,0.0493
"  6879 Hyogo (1994 TC15)",12.5,0.0535
"  6895 (1987 DG6)",13.3,0.0273
"  6925 Susumu (1993 UW2)",12.2,0.0481
"  6939 Lestone (1952 SW1)",13.70,0.0212
"  6974 Solti (1992 MC)",11.9,0.1381
"  6989 Hoshinosato (1994 XH1)",12.3,0.1725
"  7019 Tagayuichan (1992 EM1)",13.4,0.0889
"  7050 (1982 FE3)",12.7,0.0390
"  7052 (1988 VQ2)",12.9,0.1682
"  7083 Kant (1989 CL3)",12.8,0.1161
"  7110 Johnpearse (1983 XH1)",12.8,0.0625
"  7170 Livesey (1987 MK)",12.5,0.0998
"  7200 (1994 NO)",13.5,0.0346
"  7331 Balindblad (1985 TV)",11.7,0.0740
"  7366 Agata (1996 UY)",12.2,0.0311
"  7536 Fahrenheit (1995 WB7)",12.0,0.0549
"  7605 (1995 SR1)",11.3,0.0426
"  7611 Hashitatsu (1996 BW1)",12.0,0.0653
"  7612 (1996 CN2)",12.0,0.0896
"  7635 (1983 VH1)",11.7,0.0924
"  7711 Rip (1994 XF)",12.7,0.0489
"  7730 Sergerasimov (1978 NN1)",13.2,0.0281
"  7750 McEwen (1988 QD1)",13.0,0.1036
"  7796 Jaracimrman (1996 BG)",13.4,0.0408
"  7812 Billward (1984 UT)",12.7,0.0153
"  7859 Lhasa (1979 US)",13.30,0.0330
"  7868 Barker (1984 UX2)",12.7,0.0395
"  7874 (1991 BE)",13.1,0.0946
"  7880 (1992 OM7)",12.9,0.0430
"  7895 Kaseda (1995 DK1)",11.3,0.0949
"  7916 (1981 EN)",14.2,0.0212
"  7949 (1992 SU)",12.40,0.0569
"  7950 Berezov (1992 SS26)",12.0,0.0663
"  7965 Katsuhiko (1996 BD1)",12.3,0.0634
"  7979 Pozharskij (1978 SV7)",13.7,0.0493
"  7994 Bethellen (1983 CQ2)",12.6,0.0391
"  7999 Nesvorny (1986 RA3)",12.2,0.0629
"  8003 Kelvin (1987 RJ)",13.6,0.0258
"  8062 Okhotsymskij (1977 EZ)",12.8,0.0718
"  8067 Helfenstein (1980 RU)",12.7,0.0253
"  8146 Jimbell (1983 WG)",12.8,0.0795
"  8157 (1988 XG2)",13.3,0.0545
"  8223 Bradshaw (1996 PD)",13.4,0.0302
"  8259 (1983 UG)",13.9,0.1120
"  8292 (1992 SU14)",12.5,0.1680
"  8342 (1986 QN3)",14.3,0.0737
"  8380 Tooting (1992 SW17)",12.1,0.1903
"  8449 Maslovets (1977 EO1)",12.9,0.0312
"  8486 (1989 QV)",13.1,0.0201
"  8487 (1989 SQ)",13.7,0.0639
"  8579 Hieizan (1996 XV19)",13.5,0.0313
"  8701 (1993 LG2)",12.5,0.0459
"  8737 Takehiro (1997 AL13)",12.2,0.0621
"  8802 (1981 EW31)",13.7,0.0238
"  8813 Leviathan (1983 WF1)",12.3,0.1664
"  8823 (1987 WS3)",12.7,0.0831
"  8861 Jenskandler (1991 TF7)",12.9,0.0147
"  8889 Mockturtle (1994 OC)",12.0,0.0727
"  8891 Irokawa (1994 RC1)",12.60,0.0553
"  8951 (1997 FO)",12.2,0.0692
"  9003 Ralphmilliken (1981 UW21)",12.9,0.0326
"  9090 Chirotenmondai (1995 UW8)",12.50,0.0609
"  9107 Narukospa (1997 AE4)",12.9,0.0255
"  9247 (1998 MO19)",11.5,0.0553
"  9294 (1983 EV)",13.0,0.0418
"  9344 Klopstock (1991 RB4)",14.2,0.0116
"  9347 (1991 RY21)",13.5,0.0509
"  9515 Dubner (1975 RA2)",12.9,0.0738
"  9559 (1987 DH6)",13.20,0.0466
"  9719 Yakage (1977 DF2)",13.3,0.0197
"  9920 Bagnulo (1981 EZ10)",13.4,0.0270
" 10046 Creighton (1986 JC)",13.5,0.0418
" 10050 Rayman (1987 MA1)",13.4,0.0722
" 10227 Izanami (1997 VO6)",12.1,0.0325
" 10259 Osipovyurij (1972 HL)",12.2,0.0523
" 10287 Smale (1982 UK7)",13.7,0.0602
" 10288 Saville (1983 WN)",14.4,0.0546
" 10291 (1985 UT)",12.5,0.0489
" 10299 (1988 VS3)",13.3,0.0706
" 10328 (1991 GC1)",13.9,0.0519
" 10369 Sinden (1995 CE2)",13.1,0.0529
" 10583 Kanetugu (1995 WC4)",11.9,0.0485
" 10637 Heimlich (1998 QP104)",12.4,0.0241
" 10672 Kostyukova (1978 QE)",11.6,0.0719
" 10714 (1983 QG)",13.5,0.0778
" 10748 (1989 CE8)",13.00,0.0522
" 10766 (1990 UB1)",11.9,0.0354
" 10784 Noailles (1991 RQ11)",13.2,0.0309
" 10944 (1999 FJ26)",12.7,0.0412
" 10946 (1999 HR2)",12.8,0.0435
" 11096 (1994 RU1)",13.1,0.0697
" 11179 (1998 FB109)",13.8,0.0161
" 11195 Woomera (1999 AY22)",14.1,0.0329
" 11232 (1999 JA77)",12.3,0.0264
" 11313 Kugelgen (1994 GE10)",14.2,0.0127
" 11386 (1998 TA18)",13.60,0.0458
" 11569 Virgilsmith (1993 KB2)",12.00,0.0305
" 11576 (1994 CL)",13.2,0.0496
" 11645 (1997 BY1)",13.8,0.0988
" 11990 (1995 WM6)",13.6,0.0593
" 12080 (1998 FC111)",12.30,0.0356
" 12098 (1998 HV122)",12.8,0.0422
" 12365 Yoshitoki (1993 YD)",12.70,0.0194
" 12445 Sirataka (1996 HE2)",12.4,0.0278
" 12481 Streuvels (1997 EW47)",13.3,0.0409
" 12583 Buckjean (1999 RC35)",12.30,0.0320
" 12738 Satoshimiki (1992 AL)",13.3,0.0419
" 12983 (1979 OH1)",12.7,0.0156
" 13124 (1994 PS)",13.4,0.0383
" 13176 Kobedaitenken (1996 HE1)",12.1,0.0258
" 13244 Dannymeyer (1998 MJ14)",11.7,0.0486
" 13249 Marcallen (1998 MD38)",11.8,0.0663
" 13295 (1998 RE)",12.3,0.0465
" 13426 (1999 VA25)",15.1,0.0134
" 13737 (1998 RU76)",14.0,0.0333
" 13860 Neely (1999 XH143)",11.9,0.0520
" 14012 Amedee (1993 XG)",12.3,0.0952
" 14120 Espenak (1998 QJ54)",13.5,0.0368
" 14208 (1999 CR64)",12.9,0.0391
" 14341 (1983 RV3)",13.6,0.0405
" 14612 Irtish (1998 SG164)",12.6,0.0333
" 14646 (1998 XO28)",13.4,0.0166
" 14651 (1998 YE5)",12.8,0.0329
" 14705 (2000 CG2)",12.7,0.1062
" 14736 (2000 DW97)",13.00,0.0358
" 15269 (1990 XF)",12.0,0.1553
" 15410 (1997 YZ)",12.1,0.0514
" 15514 (1999 VW24)",11.60,0.0664
" 15562 (2000 GF48)",12.1,0.0563
" 15707 (1988 RN4)",13.7,0.0310
" 15712 (1989 RN2)",12.8,0.0386
" 15732 Vitusbering (1990 VZ5)",12.5,0.0408
" 15923 (1997 VN3)",13.1,0.0459
" 15951 (1998 BB2)",12.0,0.0541
" 15958 (1998 BE33)",14.3,0.0276
" 15967 Clairearmstrong (1998 DN20)",12.8,0.1194
" 16015 Snell (1999 CK47)",13.6,0.0125
" 16035 Sasandford (1999 FX32)",12.7,0.0329
" 16216 (2000 DR4)",13.00,0.0480
" 16257 (2000 JY6)",12.4,0.0297
" 16392 (1981 EP42)",14.4,0.0179
" 16415 (1987 QE7)",13.6,0.0811
" 16593 (1992 UB3)",12.7,0.0489
" 16671 (1994 AF3)",12.6,0.0800
" 16774 (1996 VP1)",13.1,0.1658
" 16785 (1997 AL1)",11.4,0.0481
" 16786 (1997 AT1)",12.1,0.0584
" 16878 Tombickler (1998 BL9)",12.9,0.0483
" 16913 (1998 EK9)",13.2,0.0679
" 17109 (1999 JF52)",12.5,0.0265
" 17175 (1999 SS3)",11.9,0.0714
" 17252 (2000 GJ127)",11.8,0.0246
" 17266 (2000 KT6)",13.3,0.0289
" 17297 (3560 P-L)",11.9,0.0554
" 17389 (1981 EN30)",13.3,0.0357
" 17445 Avatcha (1989 YC5)",12.5,0.0389
" 17463 (1990 UO5)",13.4,0.0419
" 17683 Kanagawa (1997 AR16)",12.6,0.0302
" 17711 (1997 WA7)",12.3,0.1515
" 17839 (1998 HN95)",12.5,0.0711
" 18039 (1999 ND49)",13.3,0.0205
" 18053 (1999 RU208)",12.7,0.0277
" 18153 (2000 OC61)",12.3,0.0743
" 18219 (6260 P-L)",12.0,0.0892
" 18300 (1979 PA)",14.2,0.0278
" 18331 (1987 DQ6)",11.7,0.0365
" 18333 (1987 OV)",14.1,0.0260
" 18377 (1991 SH1)",13.4,0.0442
" 18483 (1995 YY2)",13.1,0.0802
" 18595 (1998 BR1)",13.6,0.0346
" 18666 (1998 FT53)",12.9,0.0303
" 18827 (1999 NA26)",12.1,0.0360
" 19517 Robertocarlos (1998 SK164)",13.00,0.0605
" 19565 (1999 KF4)",12.5,0.0558
" 19615 (1999 OB3)",12.1,0.0460
" 19732 (1999 XF165)",12.9,0.0985
" 19862 (2556 P-L)",13.4,0.0390
" 19926 (1979 YQ)",13.1,0.0316
" 20098 (1994 WC2)",12.6,0.0821
" 20099 (1994 WB3)",14.0,0.0236
" 20293 Sirichelson (1998 FQ72)",14.1,0.0141
" 20569 (1999 RP132)",12.5,0.0612
" 20602 (1999 RC198)",11.9,0.0377
" 20675 (1999 VK6)",12.70,0.0693
" 20707 (1999 WW4)",12.4,0.0355
" 20741 Jeanmichelreess (1999 XA230)",13.0,0.0329
" 20762 (2000 EE36)",11.8,0.1299
" 20802 (2000 SR179)",13.9,0.0241
" 20810 (2000 SE266)",13.2,0.1251
" 20848 (2000 UA105)",13.6,0.0737
" 20899 (2000 XB3)",13.1,0.0430
" 21018 (1988 VV1)",12.7,0.0908
" 21555 Levary (1998 QF70)",12.50,0.0481
" 21570 Muralidhar (1998 RK33)",13.7,0.0203
" 21587 Christopynn (1998 SE132)",12.4,0.0476
" 21592 (1998 VJ5)",13.3,0.0821
" 21596 (1998 WG7)",14.3,0.0472
" 21792 (1999 ST7)",13.1,0.0554
" 21967 (1999 WS9)",12.2,0.0690
" 22097 (2000 BH4)",12.2,0.0317
" 22147 (2000 WP32)",13.4,0.0292
" 22464 (1997 AG14)",13.0,0.0828
" 22805 (1999 RR2)",12.5,0.1352
" 22955 (1999 TH251)",12.9,0.0304
" 23059 Paulpaino (1999 XT45)",14.5,0.0146
" 23099 (1999 XA160)",11.6,0.0443
" 23103 (1999 XK169)",12.9,0.0436
" 23129 (2000 AO100)",11.9,0.0601
" 23167 (2000 GL124)",13.0,0.1437
" 23956 (1998 VD9)",13.0,0.0531
" 23977 (1999 GW6)",13.00,0.0425
" 24013 (1999 RR113)",13.10,0.1282
" 24035 (1999 SJ2)",14.1,0.0512
" 24127 (1999 VZ52)",11.40,0.0851
" 24388 (2000 AB175)",11.9,0.0374
" 24980 (1998 KF2)",13.7,0.0871
" 25000 Astrometria (1998 OW5)",12.60,0.0311
" 25343 (1999 RA44)",14.2,0.0252
" 25453 (1999 XU11)",12.5,0.0957
" 25699 (2000 AD127)",12.6,0.0346
" 25785 (2000 CY45)",13.4,0.0238
" 25843 (2000 EQ84)",13.3,0.0167
" 26125 (1992 RG)",13.0,0.0975
" 26171 (1996 BY2)",14.00,0.0480
" 26260 (1998 RA2)",13.3,0.0670
" 26604 (2000 FO25)",12.8,0.4331
" 26662 (2000 WB181)",14.5,0.0186
