#HDNum,CommonName,RA,Dec,Mag,ColorIndex
358,Alpheratz,0.13976888,+29.09082805,2.07,-0.038
432,Caph,0.15280269,+59.15021814,2.28,0.380
496,,0.15681663,-45.74698836,3.88,1.013
886,Algenib,0.22059721,+15.18361593,2.83,-0.190
1522,,0.32380084,-08.82382948,3.56,1.214
2151,,0.42755612,-77.25503511,2.82,0.618
2262,,0.43669894,-43.67990933,3.93,0.175
2261,Ankaa,0.43801871,-42.30512197,2.40,1.083
3360,,0.61618528,+53.89693161,3.69,-0.196
3627,,0.65544371,+30.86122579,3.27,1.268
3712,Shedir,0.67510756,+56.53740928,2.24,1.170
4128,Diphda,0.7264523,-17.98668410,2.04,1.019
4614,,0.8180835,+57.81654770,3.46,0.587
5394,,0.9451392,+60.71674966,2.15,-0.046
5448,,0.94586046,+38.49925513,3.86,0.130
6595,,1.10141847,-46.71849042,3.32,0.885
6882,,1.13973891,-55.24583235,3.94,-0.120
6805,,1.14312879,-10.18192800,3.46,1.161
6860,Mirach,1.16216599,+35.62083048,2.07,1.576
8512,,1.40040311,-08.18275372,3.60,1.065
8538,,1.43016751,+60.23540347,2.66,0.160
9053,,1.47276157,-43.31772906,3.41,1.542
9362,,1.5208282,-49.07307701,3.93,0.972
9270,,1.52472051,+15.34583101,3.62,0.974
10144,Achernar,1.62854213,-57.23666007,0.45,-0.158
9927,,1.6331951,+48.62848641,3.59,1.275
10700,,1.73475762,-15.93955597,3.49,0.727
11353,,1.85766961,-10.33494526,3.74,1.136
11443,,1.88469439,+29.57939727,3.42,0.488
11502,,1.892157,+19.29409264,3.88,-0.047
11415,,1.90657873,+63.67014686,3.35,-0.150
11636,,1.91065251,+20.80829949,2.64,0.165
11937,,1.93245347,-51.60958673,3.69,0.844
12311,,1.97940884,-61.56992444,2.86,0.290
12274,,2.00006244,-21.07777193,3.99,1.554
12446,,2.03411128,+02.76376048,3.82,0.024
12216,,2.05727509,+72.42123962,3.95,-0.002
12533,,2.06497752,+42.32984832,2.10,1.370
12929,Hamal,2.11952383,+23.46277743,2.01,1.151
13161,,2.15903358,+34.98739204,3.00,0.140
14228,,2.27513896,-51.51211145,3.56,-0.120
8890,Polaris,2.52974312,+89.26413805,1.97,0.636
16970,,2.72170126,+03.23617162,3.47,0.093
17573,,2.8330526,+27.26079044,3.61,-0.100
17506,,2.84494243,+55.89552955,3.77,1.690
17878,,2.90429513,+52.76248991,3.93,0.758
18322,,2.94044549,-08.89760976,3.89,1.088
18622,,2.97103212,-40.30473491,2.88,0.128
18884,Menkar,3.03799418,+04.08992539,2.54,1.630
18925,,3.07994173,+53.50645031,2.91,0.716
19058,,3.08624916,+38.84053298,3.32,1.528
19356,Algol,3.13614714,+40.95565120,2.09,-0.003
19476,,3.1582303,+44.85788896,3.79,0.980
20010,,3.20118888,-28.98910623,3.80,0.543
20720,,3.32526935,-21.75794210,3.70,1.614
20902,Mirphak,3.40537459,+49.86124281,1.79,0.481
21120,,3.413566,+09.02906504,3.61,0.887
21364,,3.45281136,+09.73277240,3.73,-0.082
22049,,3.549006,-09.45830584,3.72,0.881
22928,,3.71541169,+47.78765330,3.01,-0.125
23249,,3.72082113,-09.76519868,3.52,0.915
23817,,3.73654302,-64.80709398,3.84,1.133
23180,,3.73864623,+32.28827325,3.84,0.022
23302,,3.7479232,+24.11344840,3.72,-0.105
23230,,3.75323428,+42.57854437,3.77,0.425
23408,,3.76377586,+24.36785796,3.87,-0.063
24512,,3.78728653,-74.23924251,3.26,1.590
23630,Alcyone,3.79140671,+24.10524193,2.85,-0.086
23850,,3.81936977,+24.05352412,3.62,-0.070
24398,,3.90219957,+31.88365776,2.84,0.271
24760,,3.96422809,+40.01027315,2.90,-0.199
25025,,3.96714724,-13.50824471,2.97,1.588
24912,,3.98274992,+35.79102701,3.98,0.016
25204,,4.01133906,+12.49037571,3.41,-0.099
25490,,4.05260466,+05.98930909,3.91,0.032
25940,,4.14435368,+47.71259359,3.96,-0.025
26967,,4.23335592,-42.29387294,3.85,1.085
27256,,4.24039753,-62.47397888,3.33,0.915
27376,,4.29822737,-33.79833145,3.55,-0.108
27371,,4.32987052,+15.62770031,3.65,0.981
27697,,4.38222981,+17.54258430,3.77,0.983
28028,,4.40060148,-34.01698632,3.97,1.468
28307,,4.4762312,+15.96221721,3.84,0.952
28305,,4.47692591,+19.18052092,3.53,1.014
28319,,4.47768747,+15.87094680,3.40,0.179
29305,,4.56658845,-55.04500559,3.30,-0.079
29291,,4.59251991,-30.56231049,3.81,0.957
29139,Aldebaran,4.59866679,+16.50976164,0.87,1.538
29248,,4.60531682,-03.35244800,3.93,-0.210
29503,,4.63635303,-14.30358700,3.86,1.082
30652,,4.83059395,+06.96124744,3.19,0.484
30836,,4.853435,+05.60510146,3.68,-0.157
31237,,4.90419323,+02.44067149,3.71,-0.179
31398,,4.94989339,+33.16613537,2.69,1.490
31964,,5.032815,+43.82331397,3.03,0.537
32068,,5.04130001,+41.07588953,3.69,1.154
32887,,5.09101447,-22.37085673,3.19,1.460
32630,,5.10857473,+41.23464074,3.18,-0.148
33111,,5.13084276,-05.08626282,2.78,0.161
33904,,5.2155203,-16.20542901,3.29,-0.110
34085,Rigel,5.24229756,-08.20163919,0.18,-0.030
34029,Capella,5.27813767,+45.99902927,0.08,0.795
34503,,5.29344415,-06.84438616,3.59,-0.115
35411,,5.40794918,-02.39713844,3.35,-0.240
35468,Bellatrix,5.41885227,+06.34973451,1.64,-0.224
35497,Alnath,5.43819386,+28.60787346,1.65,-0.130
36079,Nihal,5.47075731,-20.75923214,2.81,0.807
36597,,5.5202043,-35.47043592,3.86,1.130
36486,,5.53344437,-00.29909340,2.25,-0.175
36673,Arneb,5.54550386,-17.82229227,2.58,0.211
37350,,5.5604212,-62.48985585,3.76,0.640
36861,,5.58563269,+09.93416294,3.39,-0.160
37043,,5.59055031,-05.90989984,2.75,-0.210
37128,Alnilam,5.60355904,-01.20191725,1.69,-0.184
37202,,5.62741229,+21.14259299,2.97,-0.148
37468,,5.64576814,-02.60006791,3.77,-0.190
37795,,5.66081665,-34.07404941,2.65,-0.120
37742,Alnitak,5.67931244,-01.94257841,1.74,-0.199
38393,,5.74110416,-22.44748663,3.59,0.481
38678,,5.78259715,-14.82194717,3.55,0.104
39060,,5.7880787,-51.06671329,3.85,0.171
38771,Saiph,5.79594109,-09.66960186,2.07,-0.168
39425,,5.84932022,-35.76929225,3.12,1.146
39364,,5.85532022,-20.87751376,3.76,0.984
39003,,5.85816462,+39.14847936,3.97,1.132
39801,Betelgeuse,5.91952477,+07.40703634,0.45,1.500
40136,,5.94008841,-14.16803805,3.71,0.337
40808,,5.98577514,-42.81510761,3.96,1.146
40035,,5.99209731,+54.28498197,3.72,1.010
40183,,5.99215817,+44.94743492,1.90,0.077
40312,,5.99534393,+37.21276409,2.65,-0.083
43232,,6.24759346,-06.27472737,3.99,1.319
42995,,6.2479713,+22.50682376,3.31,1.600
44402,,6.33855198,-30.06337656,3.02,-0.160
44762,,6.36856809,-33.43627251,3.85,0.858
44743,,6.37832983,-17.95591658,1.98,-0.240
44478,,6.3826642,+22.51385027,2.87,1.621
45348,Canopus,6.39919184,-52.69571799,-0.62,0.164
45725,,6.48029836,-07.03305042,3.76,-0.113
47205,,6.61138858,-19.25570928,3.95,1.037
47105,Alhena,6.62852842,+16.39941482,1.93,0.001
47670,,6.62935324,-43.19592394,3.17,-0.103
48329,,6.73220272,+25.13115531,3.06,1.377
48915,Sirius,6.7525694,-16.71314306,-1.44,0.009
48737,,6.75484265,+12.89605513,3.35,0.443
50241,,6.80320475,-61.94197988,3.24,0.225
50013,,6.83068485,-32.50848752,3.50,-0.116
50310,,6.83226023,-50.61439973,2.94,1.207
50019,,6.87981668,+33.96136985,3.60,0.102
50877,,6.90220967,-24.18422296,3.89,1.740
52089,Adhara,6.9770963,-28.97208931,1.50,-0.211
52877,,7.02865325,-27.93484165,3.49,1.729
53138,,7.05040932,-23.83330131,3.02,-0.077
54605,,7.13985723,-26.39320776,1.83,0.671
55865,,7.14578458,-70.49919435,3.78,1.006
57623,,7.28050856,-67.95717248,3.97,0.760
56855,,7.28571226,-37.09748689,2.71,1.616
56537,,7.30155744,+16.54047526,3.58,0.106
56986,,7.33538592,+21.98233941,3.50,0.374
58350,,7.40158473,-29.30311979,2.45,-0.083
58207,,7.42879891,+27.79828561,3.78,1.024
58715,,7.45252008,+08.28940893,2.89,-0.097
59717,,7.48718842,-43.30189129,3.25,1.509
60179,Castor,7.57666793,+31.88863645,1.58,0.034
61555,,7.64718924,-26.80389240,3.80,-0.159
61421,Procyon,7.65514946,+05.22750767,0.40,0.432
61935,,7.68746574,-09.55108315,3.94,1.022
63295,,7.69699889,-72.60613528,3.93,1.033
62623,,7.73013114,-28.95483520,3.94,0.160
62345,,7.74079682,+24.39812929,3.57,0.932
63032,,7.75425108,-37.96859848,3.62,1.706
62509,Pollux,7.75537884,+28.02631031,1.16,0.991
63700,,7.82157187,-24.85978401,3.34,1.218
64440,,7.87029041,-40.57579889,3.71,1.012
65575,,7.94631715,-52.98240062,3.46,-0.177
66811,,8.0597417,-40.00318846,2.21,-0.269
67523,,8.12575059,-24.30443677,2.83,0.458
68273,,8.15887648,-47.33661177,1.75,-0.145
69267,,8.2752634,+09.18566295,3.53,1.481
71129,,8.37524019,-59.50953829,1.86,1.196
71155,,8.42768636,-03.90636482,3.91,-0.012
71878,,8.42895729,-66.13652042,3.77,1.132
71369,,8.50445282,+60.71843110,3.35,0.856
74006,,8.66837126,-35.30830091,3.97,0.936
74195,,8.67155811,-52.92197259,3.60,-0.168
74180,,8.67710424,-46.64875492,3.77,0.670
74575,,8.72654096,-33.18641133,3.68,-0.180
74442,,8.7447528,+18.15486399,3.94,1.083
74956,,8.7450548,-54.70856797,1.93,0.043
75063,,8.7671263,-46.04153920,3.87,0.015
74874,,8.77962395,+06.41890691,3.38,0.685
76728,,8.91746157,-60.64471195,3.84,-0.104
76294,,8.92324579,+05.94552770,3.11,0.978
76644,,8.98689965,+48.04234956,3.12,0.223
76943,,9.01076451,+41.78344401,3.96,0.463
77327,,9.06043299,+47.15665934,3.57,0.007
78004,,9.0692557,-47.09771376,3.75,1.174
78647,,9.13327141,-43.43262406,2.23,1.665
79351,,9.18280702,-58.96693014,3.43,-0.190
79447,,9.18799107,-62.31701587,3.96,-0.180
80007,,9.22006688,-69.71747245,1.67,0.070
79469,,9.23938701,+02.31502422,3.89,-0.060
80404,,9.28484122,-59.27526115,2.21,0.189
80081,,9.31407426,+36.80289763,3.82,0.066
80493,,9.35096077,+34.39252592,3.14,1.550
81188,,9.36856367,-55.01069531,2.47,-0.141
81797,Alphard,9.45979217,-08.65868335,1.99,1.440
82434,,9.51169804,-40.46688763,3.60,0.371
82668,,9.52037604,-57.03439160,3.16,1.538
81937,,9.52543601,+63.06179545,3.65,0.360
82328,,9.54786812,+51.67860208,3.17,0.475
83618,,9.66425943,-01.14265722,3.90,1.313
83808,,9.68586607,+09.89239902,3.52,0.516
84810,,9.75411876,-62.50792328,3.69,1.010
84441,,9.76419511,+23.77427792,2.97,0.808
85123,,9.78503822,-65.07201888,2.92,0.273
84999,,9.84991436,+59.03910437,3.78,0.291
85503,,9.87943268,+26.00708498,3.88,1.222
86440,,9.94770968,-54.56779730,3.52,-0.067
87737,,10.12220929,+16.76266572,3.48,-0.031
87901,Regulus,10.13957205,+11.96719513,1.36,-0.087
88284,,10.17649919,-12.35383921,3.61,1.007
89080,,10.22896636,-70.03792169,3.29,-0.074
88955,,10.24563159,-42.12206281,3.85,0.051
89025,,10.27816787,+23.41732840,3.43,0.307
89388,,10.28472369,-61.33231977,3.39,1.541
89021,,10.2849797,+42.91446855,3.45,0.029
89484,Algieba,10.3328227,+19.84186032,2.01,1.128
89758,,10.37216756,+41.49943350,3.06,1.603
90589,,10.40659458,-74.03154474,3.99,0.369
90432,,10.43486251,-16.83609584,3.83,1.456
90853,,10.4646514,-58.73940856,3.81,0.317
91465,,10.5337455,-61.68536031,3.30,-0.089
91316,,10.5468542,+09.30659431,3.84,-0.148
92139,,10.62173798,-48.22561631,3.84,0.300
93030,,10.71595186,-64.39447937,2.74,-0.220
93497,,10.77947836,-49.42012517,2.69,0.901
93813,,10.82706446,-16.19413208,3.11,1.232
94264,,10.88851107,+34.21556641,3.79,1.040
94510,,10.89154617,-58.85326474,3.78,0.945
95418,Merak,11.0306641,+56.38234478,2.34,0.033
95689,Dubhe,11.06217691,+61.75111888,1.81,1.061
96918,,11.14316545,-58.97504198,3.93,1.225
96833,,11.16107206,+44.49855337,3.00,1.144
97603,,11.23511447,+20.52403384,2.56,0.128
97633,,11.23734469,+15.42976310,3.33,-0.003
98262,,11.30798759,+33.09423881,3.49,1.400
98430,,11.3223674,-14.77904358,3.56,1.112
98718,,11.35012284,-54.49101395,3.90,-0.157
100029,,11.52341346,+69.33112161,3.82,1.613
100407,,11.55007195,-31.85752405,3.54,0.947
100841,,11.59636896,-63.01982488,3.11,-0.044
102249,,11.76015759,-66.72884344,3.63,0.160
102224,,11.76753725,+47.77933701,3.69,1.181
102647,Denebola,11.81774398,+14.57233687,2.14,0.090
102870,,11.8448017,+01.76537705,3.59,0.518
103287,Phad,11.89715035,+53.69473296,2.41,0.044
105435,,12.13931767,-50.72240999,2.58,-0.128
105707,,12.16875718,-22.61979211,3.02,1.326
105937,,12.19420872,-52.36841559,3.97,-0.156
106490,,12.25243248,-58.74890179,2.79,-0.193
106591,,12.25706919,+57.03259792,3.32,0.077
106625,,12.26346329,-17.54198370,2.58,-0.107
107259,,12.33177539,-00.66674709,3.89,0.026
107446,,12.35605869,-60.40136988,3.59,1.389
108248,Acrux,12.44331705,-63.09905586,0.77,-0.243
108483,,12.46733655,-50.23060480,3.91,-0.192
108767,,12.4977731,-16.51509397,2.94,-0.012
108903,,12.5194248,-57.11256922,1.59,1.600
109026,,12.54114193,-72.13297590,3.84,-0.157
109387,,12.55806736,+69.78820992,3.85,-0.116
109379,,12.57312057,-23.39662306,2.65,0.893
109668,,12.61974547,-69.13553358,2.69,-0.176
109787,,12.62842439,-48.54128816,3.85,0.049
110304,,12.69200138,-48.95988553,2.20,-0.023
110379,,12.69444503,-01.44952231,2.74,0.368
110879,,12.77135267,-68.10809405,3.04,-0.178
111123,,12.79536635,-59.68873246,1.25,-0.238
112185,Alioth,12.9004536,+55.95984301,1.76,-0.022
112300,,12.92680091,+03.39759862,3.39,1.571
112413,,12.9338447,+38.31824617,2.89,-0.115
113226,Vindemiatrix,13.03632237,+10.95910186,2.85,0.934
112985,,13.03771597,-71.54879865,3.61,1.190
115659,,13.31534816,-23.17141246,2.99,0.920
115892,,13.34335154,-36.71208109,2.75,0.068
116656,Mizar,13.39872773,+54.92541525,2.23,0.057
116658,Spica,13.41989015,-11.16124491,0.98,-0.235
116842,,13.42039322,+54.98799884,3.99,0.169
117440,,13.5174079,-39.40727983,3.90,1.186
118098,,13.5782652,-00.59593821,3.38,0.114
118716,,13.66479797,-53.46636269,2.29,-0.171
120315,Alkaid,13.79237392,+49.31330288,1.85,-0.099
120307,,13.82508261,-41.68765971,3.41,-0.225
120324,,13.82694662,-42.47368506,3.47,-0.170
121370,,13.91142116,+18.39858742,2.68,0.580
121263,,13.92567635,-47.28826634,2.55,-0.176
121743,,13.97119018,-42.10070526,3.83,-0.224
121790,,13.97799204,-44.80353140,3.87,-0.208
122451,Hadar,14.06373459,-60.37297840,0.61,-0.231
123299,,14.07317389,+64.37580873,3.67,-0.049
123123,,14.10618582,-26.68201883,3.25,1.091
123139,,14.11147907,-36.36869575,2.06,1.011
124897,Arcturus,14.2612076,+19.18726997,-0.05,1.239
125238,,14.32339798,-46.05808391,3.55,-0.184
127665,,14.53051606,+30.37114497,3.57,1.298
127762,,14.53465494,+38.30788348,3.04,0.191
127972,,14.5917921,-42.15774562,2.33,-0.157
128621,RigelKentaurusB,14.66094188,-60.83947139,1.35,0.900
128620,RigelKentaurusA,14.66136068,-60.83514707,-0.01,0.710
129246,,14.68581121,+13.72833113,3.78,0.044
129056,,14.69882606,-47.38814127,2.30,-0.154
128898,,14.70852362,-64.97456957,3.18,0.256
129502,,14.71765618,-05.65742910,3.87,0.385
129988,Izar,14.74979191,+27.07417383,2.35,0.966
130109,,14.77083106,+01.89293830,3.73,-0.005
129078,,14.79770171,-79.04471242,3.83,1.433
131873,Kochab,14.84510983,+74.15547596,2.07,1.465
130841,,14.84799369,-16.04161047,2.75,0.147
132058,,14.97554279,-43.13386699,2.68,-0.184
132200,,14.9860275,-42.10414199,3.13,-0.208
133208,,15.03244253,+40.39063671,3.49,0.956
133216,,15.06785052,-25.28185602,3.25,1.674
133242,,15.08530713,-47.05119386,3.91,-0.144
134481,,15.19893362,-48.73770212,3.88,-0.029
134505,,15.20477865,-52.09907465,3.41,0.918
135722,,15.25836216,+33.31510222,3.46,0.961
135742,,15.28346439,-09.38286694,2.61,-0.071
135382,,15.31519133,-68.67946723,2.87,0.014
137422,,15.34548589,+71.83397308,3.00,0.058
136298,,15.35620455,-40.64745946,3.22,-0.227
136422,,15.36345457,-36.26116729,3.57,1.534
136504,,15.37802431,-44.68957314,3.37,-0.191
137759,,15.41549558,+58.96602354,3.29,1.166
137909,,15.46384775,+29.10549164,3.66,0.319
139006,Alphekka,15.57810819,+26.71491041,2.22,0.032
138917,,15.58005284,+10.53885916,3.80,0.268
138690,,15.58568343,-41.16669497,2.80,-0.216
138905,,15.59209426,-14.78955365,3.91,1.007
139063,,15.61707183,-28.13507099,3.60,1.361
139365,,15.64427343,-29.77768935,3.66,-0.177
140436,,15.71239951,+26.29551419,3.81,0.020
140573,Unukalhai,15.7377766,+06.42551971,2.63,1.167
141003,,15.76978191,+15.42192602,3.65,0.073
141513,,15.82701825,-03.43014112,3.54,-0.036
141795,,15.84691422,+04.47757980,3.71,0.147
141556,,15.84931715,-33.62710488,3.97,-0.045
141891,,15.91911334,-63.42974973,2.83,0.315
142860,,15.94083173,+15.66473327,3.85,0.478
142669,,15.94807962,-29.21401221,3.87,-0.199
143018,,15.98086685,-26.11404280,2.89,-0.180
143118,,16.00203902,-38.39664079,3.42,-0.206
143275,,16.00555881,-22.62162024,2.29,-0.117
144217,,16.0906208,-19.80539286,2.56,-0.065
144470,,16.11345346,-20.66913479,3.93,-0.046
146051,,16.23910173,-03.69397562,2.73,1.584
145544,,16.25729615,-63.68564897,3.86,1.105
146791,,16.30534466,-04.69260809,3.23,0.966
147394,,16.3290133,+46.31327084,3.91,-0.151
147165,,16.35314514,-25.59275259,2.90,0.299
147547,,16.36534546,+19.15302185,3.74,0.299
148387,,16.39986301,+61.51407536,2.73,0.910
148478,Antares,16.49012986,-26.43194608,1.06,1.865
148856,,16.50368379,+21.48964850,2.78,0.947
148857,,16.51523367,+01.98410056,3.82,0.022
147675,,16.55762893,-78.89695917,3.86,0.923
149438,,16.59804428,-28.21596156,2.82,-0.206
149757,,16.61931389,-10.56715180,2.54,0.038
150680,,16.68818808,+31.60188695,2.81,0.650
150997,,16.71492737,+38.92246103,3.48,0.916
150798,,16.81107382,-69.02763503,1.91,1.447
151249,,16.82975317,-59.04131648,3.77,1.562
151680,,16.83617915,-34.29260982,2.29,1.144
151890,,16.86451079,-38.04732717,3.00,-0.200
151985,,16.87226486,-38.01747781,3.56,-0.210
152334,,16.90975143,-42.36075916,3.62,1.393
153210,,16.96118627,+09.37505626,3.19,1.160
152786,,16.97700854,-55.99005508,3.12,1.552
153808,,17.00483505,+30.92633926,3.92,-0.018
155763,,17.1464514,+65.71463676,3.17,-0.120
155125,,17.17296177,-15.72514757,2.43,0.059
155203,,17.20254886,-43.23849039,3.32,0.441
156014,Rasalgethi,17.24412845,+14.39025314,2.78,1.164
156164,,17.25053449,+24.83958739,3.12,0.080
156283,,17.25079285,+36.80915527,3.16,1.437
157056,,17.36682891,-24.99948797,3.27,-0.186
157244,,17.42166588,-55.52982397,2.84,1.479
157246,,17.42323884,-56.37768824,3.31,-0.150
159181,,17.5072158,+52.30135901,2.79,0.954
158408,,17.512733,-37.29574016,2.70,-0.179
158094,,17.51832693,-60.68360667,3.60,-0.104
158427,,17.53070044,-49.87598159,2.84,-0.136
158926,Shaula,17.56014624,-37.10374835,1.62,-0.231
159561,Rasalhague,17.58222354,+12.56057584,2.08,0.155
159532,,17.62197938,-42.99782155,1.86,0.406
159876,,17.62645145,-15.39840835,3.54,0.262
160762,,17.65774789,+46.00632216,3.82,-0.179
160578,,17.70813327,-39.02992092,2.39,-0.171
161096,,17.72454914,+04.56691684,2.76,1.168
160635,,17.76222289,-64.72373450,3.61,1.161
161797,,17.77436636,+27.72249917,3.42,0.750
161471,,17.79307809,-40.12698197,2.99,0.509
161868,,17.79821501,+02.70745875,3.75,0.043
161892,,17.83095867,-37.04337105,3.19,1.192
163588,,17.8921193,+56.87245216,3.73,1.177
163770,,17.93754959,+37.25052158,3.86,1.350
164058,Etamin,17.94343829,+51.48895101,2.24,1.521
163993,,17.96273073,+29.24792527,3.70,0.935
163917,,17.9837771,-09.77334973,3.32,0.987
164353,,18.01075431,+02.93158759,3.93,0.029
165135,,18.09681239,-30.42365007,2.98,0.981
165024,,18.11052188,-50.09145462,3.65,-0.101
165777,,18.12250574,+09.56365345,3.71,0.159
166014,,18.12570854,+28.76247025,3.84,-0.018
166937,,18.2293913,-21.05883031,3.84,0.195
167618,,18.29381366,-36.76128103,3.10,1.582
168454,,18.34989489,-29.82803914,2.72,1.380
170153,,18.35064971,+72.73369763,3.55,0.489
168723,,18.35525571,-02.89712200,3.23,0.941
169414,,18.39493521,+21.77034249,3.85,1.168
169022,KausAustralis,18.40287397,-34.38431460,1.79,-0.031
169467,,18.44956396,-45.96832919,3.49,-0.179
169916,,18.46618597,-25.42124732,2.82,1.025
171443,,18.58678829,-08.24330819,3.85,1.317
172167,Vega,18.61560722,+38.78299311,0.03,-0.001
173300,,18.76093138,-26.99077940,3.17,-0.107
174638,,18.83466497,+33.36267788,3.52,0.003
175191,Nunki,18.92108797,-26.29659428,2.05,-0.134
175775,,18.96216103,-21.10662433,3.52,1.151
176437,,18.98239571,+32.68955312,3.25,-0.049
176687,,19.04353428,-29.88011429,2.60,0.062
177241,,19.07803717,-21.74135451,3.76,1.012
177724,,19.09017012,+13.86370983,2.99,0.014
177756,,19.10415275,-04.88233456,3.43,-0.096
177716,,19.11567841,-27.66981416,3.32,1.169
178524,,19.1627316,-21.02352534,2.88,0.377
180711,,19.20920972,+67.66131695,3.07,0.990
181276,,19.28503052,+53.36816064,3.80,0.950
181577,,19.36121535,-17.84725155,3.92,0.228
181454,,19.37730181,-44.45891013,3.96,-0.085
181869,,19.3980976,-40.61564629,3.96,-0.105
182640,,19.42493129,+03.11457923,3.36,0.319
184006,,19.49509425,+51.72946747,3.76,0.148
183912,,19.51202368,+27.95969480,3.05,1.088
186882,,19.74956725,+45.13069195,2.86,-0.002
186791,Tarazed,19.77099171,+10.61326869,2.72,1.507
187076,,19.78979589,+18.53425912,3.68,1.313
188119,,19.8028371,+70.26783533,3.84,0.888
187642,Altair,19.84630057,+08.86738491,0.76,0.221
187929,,19.8745455,+01.00567827,3.87,0.630
188512,,19.92187948,+06.40793334,3.71,0.855
188947,,19.93844337,+35.08349079,3.89,1.019
189319,,19.97927434,+19.49209287,3.51,1.571
188228,,20.00983148,-72.91018443,3.97,-0.032
190248,,20.14496114,-66.17932101,3.55,0.751
191692,,20.18840688,-00.82147569,3.24,-0.066
192577,,20.22719518,+46.74132417,3.80,1.270
192909,,20.25786618,+47.71420530,3.96,1.451
192947,,20.30089401,-12.54485877,3.58,0.883
193495,,20.35017956,-14.78140119,3.05,0.790
194093,,20.37047223,+40.25668150,2.23,0.673
193924,,20.42745823,-56.73488071,1.94,-0.118
196524,,20.62579715,+14.59520289,3.64,0.425
196171,,20.62610824,-47.29166239,3.11,0.998
196867,,20.66062626,+15.91205270,3.77,-0.057
197345,Deneb,20.69053151,+45.28033423,1.25,0.092
197051,,20.74932102,-66.20323826,3.42,0.163
198149,,20.75479684,+61.83679404,3.41,0.912
197989,,20.77012006,+33.96945334,2.48,1.021
198001,,20.79459238,-09.49568988,3.78,0.000
198700,,20.91349433,-58.45409470,3.67,1.250
199629,,20.95289212,+41.16719384,3.94,0.027
200905,,21.08218216,+43.92785122,3.72,1.609
202109,,21.21560598,+30.22708128,3.21,0.990
202444,,21.24648517,+38.04432043,3.74,0.393
202447,,21.26372131,+05.24807390,3.92,0.549
203280,Alderamin,21.30960598,+62.58545529,2.45,0.257
204075,,21.44445214,-22.41137838,3.77,1.002
205021,,21.47765973,+70.56069481,3.23,-0.201
204867,,21.52597796,-05.57115593,2.90,0.828
205435,,21.56635357,+45.59206564,3.98,0.885
206088,,21.66815062,-16.66225343,3.69,0.320
205478,,21.69124253,-77.38946215,3.73,1.008
206778,Enif,21.73642787,+09.87500791,2.38,1.520
207098,,21.78396813,-16.12656595,2.85,0.180
207971,,21.8987928,-37.36482290,3.00,-0.084
209750,,22.09639591,-00.31982656,2.95,0.969
210027,,22.11679848,+25.34504610,3.77,0.435
209952,Alnair,22.13718789,-46.96061593,1.73,-0.070
210418,,22.16994993,+06.19778900,3.52,0.086
210745,,22.18090608,+58.20124992,3.39,1.558
211416,,22.30838283,-60.25949486,2.87,1.390
212061,,22.36091665,-01.38735315,3.86,-0.057
213051,,22.48050015,-00.02006304,3.65,0.406
213009,,22.48782057,-43.49555433,3.97,1.022
213558,,22.52149326,+50.28244976,3.76,0.031
214923,,22.69102078,+10.83139111,3.41,-0.086
214952,,22.71109302,-46.88456594,2.07,1.610
215182,,22.71670238,+30.22130866,2.93,0.852
215665,,22.77551177,+23.56567939,3.97,1.070
215789,,22.80922142,-51.31670354,3.49,0.083
216228,,22.82803115,+66.20071089,3.50,1.053
216131,,22.8333612,+24.60168486,3.51,0.933
216386,,22.87690679,-07.57967878,3.73,1.626
216627,,22.91084423,-15.82075994,3.27,0.066
216956,Fomalhaut,22.96078488,-29.62183701,1.17,0.145
217675,,23.03201291,+42.32597866,3.62,-0.099
217906,Scheat,23.06287038,+28.08245462,2.44,1.655
218045,Markab,23.07933801,+15.20536786,2.49,-0.002
218594,,23.15743391,-21.17248555,3.68,1.202
218670,,23.17261887,-45.24664747,3.88,0.998
219615,,23.28597045,+03.28224524,3.70,0.916
219571,,23.29050334,-58.23592762,3.99,0.410
220321,,23.38286152,-20.10034505,3.96,1.082
222107,,23.62602991,+46.45917621,3.81,0.984
222404,,23.65582834,+77.63196681,3.21,1.031
